06/06 15:43:14:985 Command Logs started
06/06 15:43:15:079 Starting process session
06/06 15:43:15:444 Total 0 instances are started
06/06 15:43:15:454 Total 1 instances are added
06/06 15:43:25:354 0 records were writen to database.
06/06 15:43:35:365 0 records were writen to database.
06/06 15:43:45:374 0 records were writen to database.
06/06 15:43:55:393 0 records were writen to database.
06/06 15:44:05:412 0 records were writen to database.
06/06 15:44:15:430 0 records were writen to database.
06/06 15:44:25:444 0 records were writen to database.
06/06 15:44:35:461 0 records were writen to database.
06/06 15:44:45:476 0 records were writen to database.
06/06 15:44:55:488 0 records were writen to database.
06/06 15:45:05:500 0 records were writen to database.
06/06 15:45:15:512 0 records were writen to database.
06/06 15:45:25:528 0 records were writen to database.
06/06 15:45:35:544 0 records were writen to database.
06/06 15:45:45:563 0 records were writen to database.
06/06 15:45:55:579 0 records were writen to database.
06/06 15:46:05:589 0 records were writen to database.
06/06 15:46:15:608 0 records were writen to database.
06/06 15:46:25:619 0 records were writen to database.
06/06 15:46:35:632 0 records were writen to database.
06/06 15:46:45:643 0 records were writen to database.
06/06 15:46:55:653 0 records were writen to database.
06/06 15:47:05:663 0 records were writen to database.
06/06 15:47:15:679 0 records were writen to database.
06/06 15:47:25:692 0 records were writen to database.
06/06 15:47:35:705 0 records were writen to database.
06/06 15:47:45:725 0 records were writen to database.
06/06 15:47:55:740 0 records were writen to database.
06/06 15:48:05:758 0 records were writen to database.
06/06 15:48:15:775 0 records were writen to database.
06/06 15:48:25:795 0 records were writen to database.
06/06 15:48:35:805 0 records were writen to database.
06/06 15:48:45:816 0 records were writen to database.
06/06 15:48:55:832 0 records were writen to database.
06/06 15:49:05:845 0 records were writen to database.
06/06 15:49:15:859 0 records were writen to database.
06/06 15:49:25:871 0 records were writen to database.
06/06 15:49:35:883 0 records were writen to database.
06/06 15:49:45:900 0 records were writen to database.
06/06 15:49:55:910 0 records were writen to database.
06/06 15:50:05:922 0 records were writen to database.
06/06 15:50:15:939 0 records were writen to database.
06/06 15:50:25:956 0 records were writen to database.
06/06 15:50:35:965 0 records were writen to database.
06/06 15:50:45:982 0 records were writen to database.
06/06 15:50:55:999 0 records were writen to database.
06/06 15:51:06:009 0 records were writen to database.
06/06 15:51:16:028 0 records were writen to database.
06/06 15:51:26:045 0 records were writen to database.
06/06 15:51:36:062 0 records were writen to database.
06/06 15:51:46:072 0 records were writen to database.
06/06 15:51:56:082 0 records were writen to database.
06/06 15:52:06:092 0 records were writen to database.
06/06 15:52:16:101 0 records were writen to database.
06/06 15:52:26:113 0 records were writen to database.
06/06 15:52:36:122 0 records were writen to database.
06/06 15:52:46:141 0 records were writen to database.
06/06 15:52:56:152 0 records were writen to database.
06/06 15:53:06:166 0 records were writen to database.
06/06 15:53:16:176 0 records were writen to database.
06/06 15:53:26:187 0 records were writen to database.
06/06 15:53:36:199 0 records were writen to database.
06/06 15:53:46:208 0 records were writen to database.
06/06 15:53:56:220 0 records were writen to database.
06/06 15:54:06:237 0 records were writen to database.
06/06 15:54:16:249 0 records were writen to database.
06/06 15:54:26:264 0 records were writen to database.
06/06 15:54:36:278 0 records were writen to database.
06/06 15:54:46:293 0 records were writen to database.
06/06 15:54:56:308 0 records were writen to database.
06/06 15:55:06:319 0 records were writen to database.
06/06 15:55:16:334 0 records were writen to database.
06/06 15:55:26:353 0 records were writen to database.
06/06 15:55:36:368 0 records were writen to database.
06/06 15:55:46:380 0 records were writen to database.
